"character_chosen","neow_bonus","neow_cost","ascension_level","winAct3","winHeart","abandon","N"
"Defect","Three Rare Cards","Ten Percent Hp Loss",20,92,48,150,1519
"Defect","Three Small Potions","None",1,421,86,93,2447
"Defect","Three Small Potions","None",2,185,34,35,1403
"Defect","Three Small Potions","None",3,138,25,34,1157
"Defect","Three Small Potions","None",4,118,14,23,1017
"Defect","Three Small Potions","None",5,106,14,19,881
"Defect","Three Small Potions","None",6,89,6,20,650
"Defect","Three Small Potions","None",7,58,6,15,473
"Defect","Three Small Potions","None",8,60,11,17,530
"Defect","Three Small Potions","None",9,58,7,13,494
"Defect","Three Small Potions","None",10,68,11,21,520
"Defect","Three Small Potions","None",11,22,3,18,222
"Defect","Three Small Potions","None",12,16,0,13,214
"Defect","Three Small Potions","None",13,16,4,17,151
"Defect","Three Small Potions","None",14,15,4,13,187
"Defect","Three Small Potions","None",15,14,3,15,204
"Defect","Three Small Potions","None",16,13,0,3,137
"Defect","Three Small Potions","None",17,9,3,24,185
"Defect","Three Small Potions","None",18,7,1,10,220
"Defect","Three Small Potions","None",19,6,2,12,205
"Defect","Three Small Potions","None",20,47,18,81,829
"Defect","Transform Card","None",1,642,134,255,3360
"Defect","Transform Card","None",2,296,45,142,1946
"Defect","Transform Card","None",3,229,37,124,1597
"Defect","Transform Card","None",4,175,26,106,1371
"Defect","Transform Card","None",5,137,18,107,1051
"Defect","Transform Card","None",6,103,14,46,804
"Defect","Transform Card","None",7,113,20,47,730
"Defect","Transform Card","None",8,68,10,63,585
"Defect","Transform Card","None",9,86,15,52,587
"Defect","Transform Card","None",10,81,13,59,610
"Defect","Transform Card","None",11,54,3,54,541
"Defect","Transform Card","None",12,51,7,50,490
"Defect","Transform Card","None",13,56,11,47,439
"Defect","Transform Card","None",14,41,5,64,461
"Defect","Transform Card","None",15,49,11,48,523
"Defect","Transform Card","None",16,39,7,37,385
"Defect","Transform Card","None",17,28,2,62,450
"Defect","Transform Card","None",18,25,2,45,499
"Defect","Transform Card","None",19,22,5,69,541
"Defect","Transform Card","None",20,94,36,220,1647
"Defect","Transform Two Cards","Curse",1,96,17,59,604
"Defect","Transform Two Cards","Curse",2,44,12,42,396
"Defect","Transform Two Cards","Curse",3,37,6,36,305
"Defect","Transform Two Cards","Curse",4,25,5,28,283
"Defect","Transform Two Cards","Curse",5,31,6,22,233
"Defect","Transform Two Cards","Curse",6,26,6,20,182
"Defect","Transform Two Cards","Curse",7,20,2,11,167
"Defect","Transform Two Cards","Curse",8,26,5,21,173
"Defect","Transform Two Cards","Curse",9,15,1,37,181
"Defect","Transform Two Cards","Curse",10,17,2,21,144
"Defect","Transform Two Cards","Curse",11,10,1,23,147
"Defect","Transform Two Cards","Curse",12,14,0,18,131
"Defect","Transform Two Cards","Curse",13,6,0,22,111
"Defect","Transform Two Cards","Curse",14,11,0,16,130
"Defect","Transform Two Cards","Curse",15,10,1,25,137
"Defect","Transform Two Cards","Curse",16,8,1,21,129
"Defect","Transform Two Cards","Curse",17,8,1,32,134
"Defect","Transform Two Cards","Curse",18,3,0,27,150
"Defect","Transform Two Cards","Curse",19,7,1,26,162
"Defect","Transform Two Cards","Curse",20,26,8,116,597
"Defect","Transform Two Cards","No Gold",1,190,50,82,950
"Defect","Transform Two Cards","No Gold",2,103,22,41,610
"Defect","Transform Two Cards","No Gold",3,81,19,33,488
"Defect","Transform Two Cards","No Gold",4,67,15,38,451
"Defect","Transform Two Cards","No Gold",5,72,15,42,418
"Defect","Transform Two Cards","No Gold",6,43,4,23,337
"Defect","Transform Two Cards","No Gold",7,49,8,21,327
"Defect","Transform Two Cards","No Gold",8,43,10,24,258
"Defect","Transform Two Cards","No Gold",9,49,6,31,282
"Defect","Transform Two Cards","No Gold",10,43,5,33,289
"Defect","Transform Two Cards","No Gold",11,40,6,20,256
"Defect","Transform Two Cards","No Gold",12,40,1,30,271
"Defect","Transform Two Cards","No Gold",13,21,3,14,212
"Defect","Transform Two Cards","No Gold",14,25,7,22,201
"Defect","Transform Two Cards","No Gold",15,32,12,42,274
"Defect","Transform Two Cards","No Gold",16,23,7,21,177
"Defect","Transform Two Cards","No Gold",17,26,2,25,236
"Defect","Transform Two Cards","No Gold",18,21,3,31,257
"Defect","Transform Two Cards","No Gold",19,20,2,46,315
"Defect","Transform Two Cards","No Gold",20,60,26,187,1124
"Defect","Transform Two Cards","Percent Damage",1,150,43,66,762
"Defect","Transform Two Cards","Percent Damage",2,83,20,50,527
"Defect","Transform Two Cards","Percent Damage",3,49,13,29,356
"Defect","Transform Two Cards","Percent Damage",4,43,7,27,313
"Defect","Transform Two Cards","Percent Damage",5,36,5,25,286
"Defect","Transform Two Cards","Percent Damage",6,37,7,18,231
"Defect","Transform Two Cards","Percent Damage",7,26,5,36,224
"Defect","Transform Two Cards","Percent Damage",8,23,5,15,211
"Defect","Transform Two Cards","Percent Damage",9,24,5,25,197
"Defect","Transform Two Cards","Percent Damage",10,20,5,24,182
"Defect","Transform Two Cards","Percent Damage",11,19,3,29,189
"Defect","Transform Two Cards","Percent Damage",12,21,4,15,154
"Defect","Transform Two Cards","Percent Damage",13,19,3,20,163
"Defect","Transform Two Cards","Percent Damage",14,16,0,17,150
"Defect","Transform Two Cards","Percent Damage",15,25,8,21,208
"Defect","Transform Two Cards","Percent Damage",16,11,2,18,148
"Defect","Transform Two Cards","Percent Damage",17,13,1,32,175
"Defect","Transform Two Cards","Percent Damage",18,9,1,30,176
"Defect","Transform Two Cards","Percent Damage",19,8,0,35,191
"Defect","Transform Two Cards","Percent Damage",20,48,22,147,755
"Defect","Transform Two Cards","Ten Percent Hp Loss",1,155,55,75,794
"Defect","Transform Two Cards","Ten Percent Hp Loss",2,71,18,39,476
"Defect","Transform Two Cards","Ten Percent Hp Loss",3,53,9,30,376
"Defect","Transform Two Cards","Ten Percent Hp Loss",4,57,12,30,368
"Defect","Transform Two Cards","Ten Percent Hp Loss",5,42,10,30,322
"Defect","Transform Two Cards","Ten Percent Hp Loss",6,38,8,16,237
"Defect","Transform Two Cards","Ten Percent Hp Loss",7,38,8,19,220
"Defect","Transform Two Cards","Ten Percent Hp Loss",8,38,8,21,217
"Defect","Transform Two Cards","Ten Percent Hp Loss",9,32,9,25,222
"Defect","Transform Two Cards","Ten Percent Hp Loss",10,29,5,24,209
"Defect","Transform Two Cards","Ten Percent Hp Loss",11,21,5,21,199
"Defect","Transform Two Cards","Ten Percent Hp Loss",12,34,8,13,177
"Defect","Transform Two Cards","Ten Percent Hp Loss",13,31,3,22,194
"Defect","Transform Two Cards","Ten Percent Hp Loss",14,18,2,17,151
"Defect","Transform Two Cards","Ten Percent Hp Loss",15,21,8,34,207
"Defect","Transform Two Cards","Ten Percent Hp Loss",16,24,3,18,168
"Defect","Transform Two Cards","Ten Percent Hp Loss",17,11,1,33,188
"Defect","Transform Two Cards","Ten Percent Hp Loss",18,15,3,31,211
"Defect","Transform Two Cards","Ten Percent Hp Loss",19,16,4,30,204
"Defect","Transform Two Cards","Ten Percent Hp Loss",20,52,25,159,863
"Defect","Twenty Percent Hp Bonus","Curse",1,102,19,9,457
"Defect","Twenty Percent Hp Bonus","Curse",2,34,4,4,243
"Defect","Twenty Percent Hp Bonus","Curse",3,21,2,3,201
"Defect","Twenty Percent Hp Bonus","Curse",4,26,2,2,200
"Defect","Twenty Percent Hp Bonus","Curse",5,19,4,2,152
"Defect","Twenty Percent Hp Bonus","Curse",6,10,2,4,138
"Defect","Twenty Percent Hp Bonus","Curse",7,18,2,2,111
"Defect","Twenty Percent Hp Bonus","Curse",8,15,3,0,98
"Defect","Twenty Percent Hp Bonus","Curse",9,11,2,7,83
"Defect","Twenty Percent Hp Bonus","Curse",10,9,1,0,102
"Defect","Twenty Percent Hp Bonus","Curse",11,7,0,3,86
"Defect","Twenty Percent Hp Bonus","Curse",12,6,0,1,71
"Defect","Twenty Percent Hp Bonus","Curse",13,3,0,1,69
"Defect","Twenty Percent Hp Bonus","Curse",14,13,2,0,93
"Defect","Twenty Percent Hp Bonus","Curse",15,6,0,2,75
"Defect","Twenty Percent Hp Bonus","Curse",16,4,0,3,70
"Defect","Twenty Percent Hp Bonus","Curse",17,5,1,4,91
"Defect","Twenty Percent Hp Bonus","Curse",18,4,0,4,102
"Defect","Twenty Percent Hp Bonus","Curse",19,2,0,7,103
"Defect","Twenty Percent Hp Bonus","Curse",20,9,3,11,253
"Defect","Twenty Percent Hp Bonus","No Gold",1,130,19,2,619
"Defect","Twenty Percent Hp Bonus","No Gold",2,55,8,3,368
"Defect","Twenty Percent Hp Bonus","No Gold",3,50,5,3,317
"Defect","Twenty Percent Hp Bonus","No Gold",4,55,2,2,349
"Defect","Twenty Percent Hp Bonus","No Gold",5,42,5,3,261
"Defect","Twenty Percent Hp Bonus","No Gold",6,25,4,1,208
"Defect","Twenty Percent Hp Bonus","No Gold",7,32,5,1,182
"Defect","Twenty Percent Hp Bonus","No Gold",8,34,5,0,154
"Defect","Twenty Percent Hp Bonus","No Gold",9,21,4,6,154
"Defect","Twenty Percent Hp Bonus","No Gold",10,23,1,3,161
"Defect","Twenty Percent Hp Bonus","No Gold",11,19,4,1,146
"Defect","Twenty Percent Hp Bonus","No Gold",12,9,2,0,117
"Defect","Twenty Percent Hp Bonus","No Gold",13,15,3,3,129
"Defect","Twenty Percent Hp Bonus","No Gold",14,14,3,2,131
"Defect","Twenty Percent Hp Bonus","No Gold",15,25,3,1,174
"Defect","Twenty Percent Hp Bonus","No Gold",16,8,0,2,120
"Defect","Twenty Percent Hp Bonus","No Gold",17,15,1,4,139
"Defect","Twenty Percent Hp Bonus","No Gold",18,7,0,1,136
"Defect","Twenty Percent Hp Bonus","No Gold",19,11,0,2,174
"Defect","Twenty Percent Hp Bonus","No Gold",20,24,10,26,556
"Defect","Twenty Percent Hp Bonus","Percent Damage",1,162,29,6,745
"Defect","Twenty Percent Hp Bonus","Percent Damage",2,68,15,3,433
"Defect","Twenty Percent Hp Bonus","Percent Damage",3,50,10,3,327
"Defect","Twenty Percent Hp Bonus","Percent Damage",4,40,10,2,331
"Defect","Twenty Percent Hp Bonus","Percent Damage",5,28,3,1,218
"Defect","Twenty Percent Hp Bonus","Percent Damage",6,27,4,0,207
"Defect","Twenty Percent Hp Bonus","Percent Damage",7,29,4,1,169
"Defect","Twenty Percent Hp Bonus","Percent Damage",8,23,5,0,161
"Defect","Twenty Percent Hp Bonus","Percent Damage",9,21,5,3,150
"Defect","Twenty Percent Hp Bonus","Percent Damage",10,12,2,1,150
"Defect","Twenty Percent Hp Bonus","Percent Damage",11,21,5,4,161
"Defect","Twenty Percent Hp Bonus","Percent Damage",12,19,3,2,136
"Defect","Twenty Percent Hp Bonus","Percent Damage",13,19,1,3,138
"Defect","Twenty Percent Hp Bonus","Percent Damage",14,21,1,0,148
"Defect","Twenty Percent Hp Bonus","Percent Damage",15,13,3,1,139
"Defect","Twenty Percent Hp Bonus","Percent Damage",16,12,1,3,113
"Defect","Twenty Percent Hp Bonus","Percent Damage",17,13,3,3,148
"Defect","Twenty Percent Hp Bonus","Percent Damage",18,11,1,0,132
"Defect","Twenty Percent Hp Bonus","Percent Damage",19,8,2,6,174
"Defect","Twenty Percent Hp Bonus","Percent Damage",20,24,10,12,503
"Defect","Two Fifty Gold","Curse",1,271,64,16,1168
"Defect","Two Fifty Gold","Curse",2,122,23,13,754
"Defect","Two Fifty Gold","Curse",3,97,28,4,596
"Defect","Two Fifty Gold","Curse",4,89,21,4,624
"Defect","Two Fifty Gold","Curse",5,102,20,1,575
"Defect","Two Fifty Gold","Curse",6,68,15,5,446
"Defect","Two Fifty Gold","Curse",7,67,14,1,381
"Defect","Two Fifty Gold","Curse",8,59,8,3,358
"Defect","Two Fifty Gold","Curse",9,46,10,6,384
"Defect","Two Fifty Gold","Curse",10,41,9,5,377
"Defect","Two Fifty Gold","Curse",11,35,3,3,324
"Defect","Two Fifty Gold","Curse",12,40,6,4,319
"Defect","Two Fifty Gold","Curse",13,30,5,6,284
"Defect","Two Fifty Gold","Curse",14,32,8,7,299
"Defect","Two Fifty Gold","Curse",15,39,7,3,327
"Defect","Two Fifty Gold","Curse",16,34,7,5,293
"Defect","Two Fifty Gold","Curse",17,37,5,8,326
"Defect","Two Fifty Gold","Curse",18,18,2,6,362
"Defect","Two Fifty Gold","Curse",19,20,1,4,450
"Defect","Two Fifty Gold","Curse",20,72,27,20,1370
"Defect","Two Fifty Gold","Percent Damage",1,317,106,5,1381
"Defect","Two Fifty Gold","Percent Damage",2,121,23,3,829
"Defect","Two Fifty Gold","Percent Damage",3,94,26,2,679
"Defect","Two Fifty Gold","Percent Damage",4,95,20,2,647
"Defect","Two Fifty Gold","Percent Damage",5,94,17,0,560
"Defect","Two Fifty Gold","Percent Damage",6,77,17,0,472
"Defect","Two Fifty Gold","Percent Damage",7,59,12,2,434
"Defect","Two Fifty Gold","Percent Damage",8,58,9,2,372
"Defect","Two Fifty Gold","Percent Damage",9,51,10,4,390
"Defect","Two Fifty Gold","Percent Damage",10,41,8,2,371
"Defect","Two Fifty Gold","Percent Damage",11,39,8,1,344
"Defect","Two Fifty Gold","Percent Damage",12,42,9,1,307
"Defect","Two Fifty Gold","Percent Damage",13,40,8,1,284
"Defect","Two Fifty Gold","Percent Damage",14,35,3,0,270
"Defect","Two Fifty Gold","Percent Damage",15,43,5,3,347
"Defect","Two Fifty Gold","Percent Damage",16,22,5,1,286
"Defect","Two Fifty Gold","Percent Damage",17,17,2,3,313
"Defect","Two Fifty Gold","Percent Damage",18,22,1,4,372
"Defect","Two Fifty Gold","Percent Damage",19,20,2,9,406
"Defect","Two Fifty Gold","Percent Damage",20,93,42,26,1454
"Defect","Two Fifty Gold","Ten Percent Hp Loss",1,258,70,6,1104
"Defect","Two Fifty Gold","Ten Percent Hp Loss",2,131,32,3,700
"Defect","Two Fifty Gold","Ten Percent Hp Loss",3,95,20,3,589
"Defect","Two Fifty Gold","Ten Percent Hp Loss",4,116,17,7,641
"Defect","Two Fifty Gold","Ten Percent Hp Loss",5,76,23,2,493
"Defect","Two Fifty Gold","Ten Percent Hp Loss",6,71,12,1,436
"Defect","Two Fifty Gold","Ten Percent Hp Loss",7,63,6,3,380
"Defect","Two Fifty Gold","Ten Percent Hp Loss",8,79,19,0,391
"Defect","Two Fifty Gold","Ten Percent Hp Loss",9,69,15,4,358
"Defect","Two Fifty Gold","Ten Percent Hp Loss",10,49,9,1,355
"Defect","Two Fifty Gold","Ten Percent Hp Loss",11,43,10,1,332
"Defect","Two Fifty Gold","Ten Percent Hp Loss",12,41,8,2,349
"Defect","Two Fifty Gold","Ten Percent Hp Loss",13,41,10,1,295
"Defect","Two Fifty Gold","Ten Percent Hp Loss",14,46,10,3,301
"Defect","Two Fifty Gold","Ten Percent Hp Loss",15,61,9,1,369
"Defect","Two Fifty Gold","Ten Percent Hp Loss",16,33,4,1,289
"Defect","Two Fifty Gold","Ten Percent Hp Loss",17,26,2,3,343
"Defect","Two Fifty Gold","Ten Percent Hp Loss",18,24,2,2,347
"Defect","Two Fifty Gold","Ten Percent Hp Loss",19,24,4,8,422
"Defect","Two Fifty Gold","Ten Percent Hp Loss",20,121,59,20,1623
"Defect","Upgrade Card","None",1,1090,248,64,4845
"Defect","Upgrade Card","None",2,428,55,32,2797
"Defect","Upgrade Card","None",3,337,43,27,2225
"Defect","Upgrade Card","None",4,258,22,15,2177
"Defect","Upgrade Card","None",5,240,30,10,1789
"Defect","Upgrade Card","None",6,201,31,13,1420
"Defect","Upgrade Card","None",7,187,21,14,1321
"Defect","Upgrade Card","None",8,164,18,10,1072
"Defect","Upgrade Card","None",9,132,15,8,1058
"Defect","Upgrade Card","None",10,143,25,13,1031
"Defect","Upgrade Card","None",11,109,13,10,1000
"Defect","Upgrade Card","None",12,89,12,11,843
"Defect","Upgrade Card","None",13,99,10,13,760
"Defect","Upgrade Card","None",14,82,8,11,879
"Defect","Upgrade Card","None",15,79,12,19,879
"Defect","Upgrade Card","None",16,62,3,7,716
"Defect","Upgrade Card","None",17,52,6,8,791
"Defect","Upgrade Card","None",18,38,4,15,880
"Defect","Upgrade Card","None",19,40,8,20,1015
"Defect","Upgrade Card","None",20,128,43,54,2978
"Ironclad","Boss Relic","None",1,2804,744,3596,14540
"Ironclad","Boss Relic","None",2,1206,290,1900,8194
"Ironclad","Boss Relic","None",3,973,234,1626,7017
"Ironclad","Boss Relic","None",4,916,188,1537,6651
"Ironclad","Boss Relic","None",5,792,176,1267,5551
"Ironclad","Boss Relic","None",6,600,137,1059,4658
"Ironclad","Boss Relic","None",7,613,114,963,4067
"Ironclad","Boss Relic","None",8,546,112,827,3635
"Ironclad","Boss Relic","None",9,533,125,878,3686
"Ironclad","Boss Relic","None",10,473,118,973,3888
"Ironclad","Boss Relic","None",11,457,104,929,3568
"Ironclad","Boss Relic","None",12,356,72,843,3272
"Ironclad","Boss Relic","None",13,396,95,772,3099
"Ironclad","Boss Relic","None",14,386,91,800,3220
"Ironclad","Boss Relic","None",15,450,130,1048,3986
"Ironclad","Boss Relic","None",16,405,79,854,3271
"Ironclad","Boss Relic","None",17,302,55,1177,4020
"Ironclad","Boss Relic","None",18,269,44,1225,4221
"Ironclad","Boss Relic","None",19,337,50,1280,4536
"Ironclad","Boss Relic","None",20,1743,1056,6841,20902
"Ironclad","Hundred Gold","None",1,1794,314,71,8581
"Ironclad","Hundred Gold","None",2,773,105,28,5065
"Ironclad","Hundred Gold","None",3,535,57,22,4067
"Ironclad","Hundred Gold","None",4,474,52,33,3968
"Ironclad","Hundred Gold","None",5,415,49,23,3347
"Ironclad","Hundred Gold","None",6,380,46,27,2646
"Ironclad","Hundred Gold","None",7,310,35,22,2339
"Ironclad","Hundred Gold","None",8,308,34,17,2080
"Ironclad","Hundred Gold","None",9,308,35,17,2075
"Ironclad","Hundred Gold","None",10,263,29,26,2248
"Ironclad","Hundred Gold","None",11,225,30,17,2071
"Ironclad","Hundred Gold","None",12,194,20,19,1822
"Ironclad","Hundred Gold","None",13,209,36,14,1673
"Ironclad","Hundred Gold","None",14,173,22,24,1712
"Ironclad","Hundred Gold","None",15,192,33,24,1823
"Ironclad","Hundred Gold","None",16,134,13,22,1518
"Ironclad","Hundred Gold","None",17,119,20,35,1693
"Ironclad","Hundred Gold","None",18,110,9,29,1722
"Ironclad","Hundred Gold","None",19,95,5,25,1901
"Ironclad","Hundred Gold","None",20,368,156,133,6082
"Ironclad","One Random Rare Card","None",1,1800,386,921,9086
"Ironclad","One Random Rare Card","None",2,776,131,476,5348
"Ironclad","One Random Rare Card","None",3,614,98,399,4490
"Ironclad","One Random Rare Card","None",4,527,80,429,4495
"Ironclad","One Random Rare Card","None",5,490,79,372,3992
"Ironclad","One Random Rare Card","None",6,406,53,302,3279
"Ironclad","One Random Rare Card","None",7,366,58,253,2825
"Ironclad","One Random Rare Card","None",8,346,54,267,2555
"Ironclad","One Random Rare Card","None",9,305,38,238,2455
"Ironclad","One Random Rare Card","None",10,302,50,274,2803
"Ironclad","One Random Rare Card","None",11,264,44,299,2700
"Ironclad","One Random Rare Card","None",12,261,47,276,2459
"Ironclad","One Random Rare Card","None",13,231,38,246,2083
"Ironclad","One Random Rare Card","None",14,178,22,247,2191
"Ironclad","One Random Rare Card","None",15,235,42,258,2320
"Ironclad","One Random Rare Card","None",16,174,19,260,2044
"Ironclad","One Random Rare Card","None",17,149,17,322,2477
"Ironclad","One Random Rare Card","None",18,122,12,352,2534
"Ironclad","One Random Rare Card","None",19,125,7,340,2634
"Ironclad","One Random Rare Card","None",20,465,210,1324,8667
"Ironclad","One Rare Relic","Curse",1,583,133,165,2609
"Ironclad","One Rare Relic","Curse",2,221,39,101,1534
"Ironclad","One Rare Relic","Curse",3,210,32,69,1399
"Ironclad","One Rare Relic","Curse",4,187,24,82,1342
"Ironclad","One Rare Relic","Curse",5,152,29,78,1163
"Ironclad","One Rare Relic","Curse",6,134,27,62,1038
"Ironclad","One Rare Relic","Curse",7,127,25,57,895
"Ironclad","One Rare Relic","Curse",8,108,14,43,760
"Ironclad","One Rare Relic","Curse",9,114,19,52,792
"Ironclad","One Rare Relic","Curse",10,101,9,52,819
"Ironclad","One Rare Relic","Curse",11,84,11,55,788
"Ironclad","One Rare Relic","Curse",12,82,7,50,682
"Ironclad","One Rare Relic","Curse",13,80,6,63,648
"Ironclad","One Rare Relic","Curse",14,73,10,58,654
"Ironclad","One Rare Relic","Curse",15,68,7,71,772
"Ironclad","One Rare Relic","Curse",16,64,8,52,637
"Ironclad","One Rare Relic","Curse",17,50,3,72,774
"Ironclad","One Rare Relic","Curse",18,59,4,100,861
"Ironclad","One Rare Relic","Curse",19,34,4,97,944
"Ironclad","One Rare Relic","Curse",20,157,51,410,3018
"Ironclad","One Rare Relic","No Gold",1,719,185,168,3021
"Ironclad","One Rare Relic","No Gold",2,319,62,78,1744
"Ironclad","One Rare Relic","No Gold",3,251,45,62,1527
"Ironclad","One Rare Relic","No Gold",4,213,31,61,1499
"Ironclad","One Rare Relic","No Gold",5,209,34,55,1297
"Ironclad","One Rare Relic","No Gold",6,175,33,43,1149
"Ironclad","One Rare Relic","No Gold",7,149,31,63,984
"Ironclad","One Rare Relic","No Gold",8,148,25,41,898
"Ironclad","One Rare Relic","No Gold",9,120,19,51,914
"Ironclad","One Rare Relic","No Gold",10,156,32,43,960
"Ironclad","One Rare Relic","No Gold",11,120,21,40,947
"Ironclad","One Rare Relic","No Gold",12,108,15,51,816
"Ironclad","One Rare Relic","No Gold",13,103,13,39,745
"Ironclad","One Rare Relic","No Gold",14,119,15,54,836
"Ironclad","One Rare Relic","No Gold",15,100,16,40,869
"Ironclad","One Rare Relic","No Gold",16,100,15,56,822
"Ironclad","One Rare Relic","No Gold",17,77,9,67,986
"Ironclad","One Rare Relic","No Gold",18,70,13,81,1002
"Ironclad","One Rare Relic","No Gold",19,68,9,60,1006
"Ironclad","One Rare Relic","No Gold",20,316,144,398,3857
"Ironclad","One Rare Relic","Percent Damage",1,746,183,119,2987
"Ironclad","One Rare Relic","Percent Damage",2,280,58,52,1676
"Ironclad","One Rare Relic","Percent Damage",3,238,43,42,1387
"Ironclad","One Rare Relic","Percent Damage",4,191,31,63,1329
"Ironclad","One Rare Relic","Percent Damage",5,191,31,49,1187
"Ironclad","One Rare Relic","Percent Damage",6,151,25,46,990
"Ironclad","One Rare Relic","Percent Damage",7,135,14,40,842
"Ironclad","One Rare Relic","Percent Damage",8,126,23,35,789
"Ironclad","One Rare Relic","Percent Damage",9,134,16,36,826
"Ironclad","One Rare Relic","Percent Damage",10,122,31,33,827
"Ironclad","One Rare Relic","Percent Damage",11,98,11,41,785
"Ironclad","One Rare Relic","Percent Damage",12,92,13,38,709
"Ironclad","One Rare Relic","Percent Damage",13,70,14,46,619
"Ironclad","One Rare Relic","Percent Damage",14,96,15,38,724
"Ironclad","One Rare Relic","Percent Damage",15,88,12,65,774
"Ironclad","One Rare Relic","Percent Damage",16,82,12,40,656
"Ironclad","One Rare Relic","Percent Damage",17,62,12,74,796
"Ironclad","One Rare Relic","Percent Damage",18,61,4,67,808
"Ironclad","One Rare Relic","Percent Damage",19,47,6,60,916
"Ironclad","One Rare Relic","Percent Damage",20,225,90,324,3178
"Ironclad","One Rare Relic","Ten Percent Hp Loss",1,596,136,145,2678
"Ironclad","One Rare Relic","Ten Percent Hp Loss",2,285,63,75,1621
"Ironclad","One Rare Relic","Ten Percent Hp Loss",3,242,50,66,1484
"Ironclad","One Rare Relic","Ten Percent Hp Loss",4,198,30,71,1385
"Ironclad","One Rare Relic","Ten Percent Hp Loss",5,175,36,57,1250
"Ironclad","One Rare Relic","Ten Percent Hp Loss",6,137,21,33,1003
"Ironclad","One Rare Relic","Ten Percent Hp Loss",7,133,25,45,907
"Ironclad","One Rare Relic","Ten Percent Hp Loss",8,144,24,42,802
"Ironclad","One Rare Relic","Ten Percent Hp Loss",9,122,23,45,795
"Ironclad","One Rare Relic","Ten Percent Hp Loss",10,126,27,45,941
"Ironclad","One Rare Relic","Ten Percent Hp Loss",11,109,16,40,857
"Ironclad","One Rare Relic","Ten Percent Hp Loss",12,98,12,68,761
"Ironclad","One Rare Relic","Ten Percent Hp Loss",13,87,12,51,715
"Ironclad","One Rare Relic","Ten Percent Hp Loss",14,83,10,45,741
"Ironclad","One Rare Relic","Ten Percent Hp Loss",15,90,20,41,783
"Ironclad","One Rare Relic","Ten Percent Hp Loss",16,72,11,53,717
"Ironclad","One Rare Relic","Ten Percent Hp Loss",17,67,9,73,792
"Ironclad","One Rare Relic","Ten Percent Hp Loss",18,48,6,67,820
"Ironclad","One Rare Relic","Ten Percent Hp Loss",19,51,3,84,946
"Ironclad","One Rare Relic","Ten Percent Hp Loss",20,262,127,421,3458
"Ironclad","Random Colorless","None",1,878,153,377,5047
"Ironclad","Random Colorless","None",2,393,59,204,3106
"Ironclad","Random Colorless","None",3,282,31,200,2457
"Ironclad","Random Colorless","None",4,238,21,217,2365
"Ironclad","Random Colorless","None",5,187,16,126,1947
"Ironclad","Random Colorless","None",6,176,14,132,1537
"Ironclad","Random Colorless","None",7,159,15,92,1386
"Ironclad","Random Colorless","None",8,110,8,87,1061
"Ironclad","Random Colorless","None",9,115,14,97,1109
"Ironclad","Random Colorless","None",10,91,6,94,1159
"Ironclad","Random Colorless","None",11,81,9,81,1088
"Ironclad","Random Colorless","None",12,76,6,96,1014
"Ironclad","Random Colorless","None",13,63,4,85,881
"Ironclad","Random Colorless","None",14,79,9,95,925
"Ironclad","Random Colorless","None",15,67,13,101,944
"Ironclad","Random Colorless","None",16,56,3,83,826
"Ironclad","Random Colorless","None",17,48,5,118,1006
"Ironclad","Random Colorless","None",18,33,4,133,997
"Ironclad","Random Colorless","None",19,35,6,112,947
"Ironclad","Random Colorless","None",20,100,49,462,2947
"Ironclad","Random Colorless 2","Curse",1,186,44,106,1070
"Ironclad","Random Colorless 2","Curse",2,72,11,51,704
"Ironclad","Random Colorless 2","Curse",3,81,14,50,626
"Ironclad","Random Colorless 2","Curse",4,66,13,47,627
"Ironclad","Random Colorless 2","Curse",5,49,4,47,526
"Ironclad","Random Colorless 2","Curse",6,52,8,36,489
"Ironclad","Random Colorless 2","Curse",7,44,9,43,432
"Ironclad","Random Colorless 2","Curse",8,37,4,30,366
"Ironclad","Random Colorless 2","Curse",9,46,3,28,368
"Ironclad","Random Colorless 2","Curse",10,24,3,43,410
"Ironclad","Random Colorless 2","Curse",11,31,2,49,367
"Ironclad","Random Colorless 2","Curse",12,31,2,32,338
"Ironclad","Random Colorless 2","Curse",13,27,2,34,326
"Ironclad","Random Colorless 2","Curse",14,19,4,53,334
"Ironclad","Random Colorless 2","Curse",15,31,3,40,350
"Ironclad","Random Colorless 2","Curse",16,31,6,34,303
"Ironclad","Random Colorless 2","Curse",17,23,2,39,372
"Ironclad","Random Colorless 2","Curse",18,12,2,57,426
"Ironclad","Random Colorless 2","Curse",19,17,3,56,465
"Ironclad","Random Colorless 2","Curse",20,51,23,263,1531
"Ironclad","Random Colorless 2","No Gold",1,346,90,91,1415
"Ironclad","Random Colorless 2","No Gold",2,115,19,43,781
"Ironclad","Random Colorless 2","No Gold",3,107,24,41,723
"Ironclad","Random Colorless 2","No Gold",4,104,18,30,738
"Ironclad","Random Colorless 2","No Gold",5,84,14,43,671
"Ironclad","Random Colorless 2","No Gold",6,80,15,40,593
"Ironclad","Random Colorless 2","No Gold",7,71,14,43,533
"Ironclad","Random Colorless 2","No Gold",8,62,11,26,471
"Ironclad","Random Colorless 2","No Gold",9,59,7,42,465
"Ironclad","Random Colorless 2","No Gold",10,65,14,38,552
"Ironclad","Random Colorless 2","No Gold",11,54,9,39,528
"Ironclad","Random Colorless 2","No Gold",12,40,12,23,454
